Id,Title,Like,URL,Author,Reasons,Year,Venues
11,movement imitation with nonlinear dynamical systems in humanoid robots,3,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.79.7189&rep=rep1&type=pdf,Auke Jan Ijspeert|Jun Nakanishi|Stefan Schaal,"First work that proproses practical movement primitive representation for robotics. Very concise paper: shows how much can be packed into 6 pages.~This paper introduced Dynamic Motor Primitives (DMPs) - a very prominent representation for robot motion used in many learning approaches. While originally introduced as an imitation learning approach|DMPs have gone on to become central to many reinforcement learning papers. Many modern approaches that end with the word ""primitive"" are descendants of this work|including Probabilistic Motion Primitives (ProMPs)|or Interaction Primitives.  ~In this work|a robust and scaleable movement primitive learning approach is proposed. The key insight is the embedding of motion trajectories in a 2nd order dynamical system. Goal attractors enable the generalization to different targets and simplify the learning of the model parameters from rewards. Complex motion can be learned through least squares regression from demonstrations.",2002,IEEE International Conference on Robotics and Automation (ICRA)
12,intrinsic motivation systems for autonomous mental development,3,http://www.pyoudeyer.com/ims.pdf,Pierre-Yves Oudeyer|Frederic Kaplan|and Verena V. Hafner,"This paper proposes exploration algorithms based on the idea of intrinsic motivations|in particular motivations to explore in order to maximise the learning progress of a robot. This is a prominent example of the work of the Developmental Robotics community that ties link between developmental psychology|neurosciences and concrete robotics implementation and shows that exploring with this approach to learn to predict action consequences (forward models) results in behavior that is organized and shows similarity with human behavior.~This article describes some of the first successful experiments about ""curious robots"" and intrinsic motivation. It is one of the foundational articles in the ""developmental robotics"" field and inspired hundreds of papers about intrinsic motivation in reinforcement learning.~This work contributes to the general question of obtaining life-long learning robotic systems. Large body of the existing robot learning literature mostly focus on methods that enable the robots to learn particular pre-defined skills and achieve particular tasks. Life-long learning|on the other hand|requires the robots to learn skills and adapt to situations that were not (and cannot be) foreseen.  Inspired from human development|intrinsic motivation is an important drive that guides the robots towards regions that can be most effectively and efficiently learned with the capabilities developed so far; exploiting metrics such as novelty|curiosity|diversity|etc. This paper|in particular|is a seminal study that exploits maximization of learning progress in a real robot that explores its continuous sensorimotor space. It nicely shows that the robot exhibits stage-like development|learning easy tasks first|and focusing to more complex problems later; progressively developing more advanced skills.",2007,IEEE Transactions on Evolutionary Computation (Volume 11|Issue 2)
13,supersizing self-supervision: learning to grasp from 50k tries and 700 robot hours,3,https://arxiv.org/abs/1509.06825,Lerrel Pinto|Abhinav Gupta,It demonstrates how you can scale end-to-end robot learning of grasping by using self-supervision without human involvement.~This paper demonstrated that it's possible to have a robot interact in a self-supervised way with the environment in order to learn useful tasks|like grasping. By running a robot for a long period of time|it's possible to collect enough data to train policies using simple algorithms. This lead the way for a lot of follow up work from Google and others|and is likely an area where we'll see a lot of interest in the future.~Pinto et al.|were the first paper to exploit deep learning techniques to process large amounts of data collected by a robot running 24x7 for significantly improving the grasping accuracy without making any object specific assumptions or requiring 3D models of objects. This paper inspired several works in using large scale data to learn intuitive physics|manipulation of deformable objects and also impressive grasping works such as Google's arm farm and DexNet.,2015,IEEE International Conference on Robotics and Automation (ICRA)
14,apprenticeship learning via inverse reinforcement learning,2,https://ai.stanford.edu/~ang/papers/icml04-apprentice.pdf,Pieter Abbeel|Andrew Y. Ng,Provided a convincing demonstration of the usefulness of inverse reinforcement learning~Key paper on inverse reinforcement learning.,2004,International Conference on Machine Learning
15,learning and generalization of motor skills by learning from demonstration,2,https://h2t.anthropomatik.kit.edu/pdf/Pastor2009.pdf,Peter Pastor|Heiko Hoffmann|Tamim Asfour|and Stefan Schaal,Not the first DMP paper|but the most understandable and with fixes to some annoying problems with the original formulation.  Incredibly simple idea|but that's the nice thing about it -- it is a great starting point for talking about what generalization means in policy learning and how a restricted policy representation with the right inductive bias can allow you to learn something meaningful from a single trajectory|as well as learn quickly from practice.~DMPs (Dynamic Movement Primitives) are a good representation for learning robot movements from demonstration|as well as for doing reinforcement learning based on demonstrations.  This paper explains a variant of the original DMP formulation that makes them stable when generalizing movements to accommodate new goals|or obstacles in the robot's path.  It then shows how the new DMPs can be used for one-shot learning of tasks such as pick-and-place operations or water serving.  More robust than just a trajectory|and less complex than learning with many trials|this is a nice tool to have in your robot learning toolkit.,2009,IEEE International Conference on Robotics and Automation (ICRA)
16,hindsight experience replay,2,https://arxiv.org/abs/1707.01495,Marcin Andrychowicz|Filip Wolski|Alex Ray|Jonas Schneider|Rachel Fong|Peter Welinder|Bob McGrew|Josh Tobin|Pieter Abbeel|Wojciech Zaremba,"A really nice|simple idea for learning parameterized skills (building on UVFAs) and efficiently dealing with sparse reward.  I think Learning Parameterized Motor Skills on a Humanoid Robot (Castro Da Silva et. al) has a much better description of the parameterized skill learning problem than the HER or UVFA papers|but the HER paper has better practical ideas.~HER addresses the issue of sample inefficiency in DRL|especially for those problems with sparse and binary reward functions. It has become one of the most effective algorithms for learning problems with multiple goals which have the potential to solve many challenging manipulation tasks. The idea of ""EVERY experience is a good experience for SOME task"" is a powerful insight that succinctly reflects how we teach our children to be lifelong learners. We should teach our robots the same way.",2018,Neural Information Processing Systems Conference (NeurIPS)
17,probabilistic robotics,2, http://www.probabilistic-robotics.org/,Sebastian Thrun|Wolfram Burgard|Dieter Fox,It laid out basis for robotics in uncertain real world.~Probabilistic Robotics is a tour de force|replete with material for students and practitioners alike.,2005,Book
18,policy gradient reinforcement learning for fast quadrupedal locomotion,2,https://www.cs.utexas.edu/~pstone/Papers/bib2html-links/icra04.pdf,Nate Kohl|Peter Stone,"The work is practical in that it allowed the authors to	improve the
walking speed of Aibos|something essential to creating top-flight
robocup players.  The reason I adore this work and frequently cite it
in my talks on machine learning is the fantastic way it allowed the
robots to learn autonomously. In particular|for the Aibo robots to
succeed in robocup|they need to be able to localize on the field
based on their perception of provided markers. The authors enabled the
robots to measure their own walking speed leveraging this
capability. By marching a team of robots back and forth across the
width of the pitch|experimenting with and evaluating different gaits
each time|the robots were able to find movement patterns that
surpassed hand-designed ones. It's a beautiful example of exploiting
measurable quantities to drive learning---a key enabling technology
for robot learning.~The paper is one of the first impressive applications of policy gradient algorithms on real robots. The policy gradient algorithm is rather simple|but is able to optimize the gait of the AIBO robot efficiently.",2004,IEEE International Conference on Robotics and Automation (ICRA)
19,probabilistic movement primitives,2,https://papers.nips.cc/paper/5177-probabilistic-movement-primitives.pdf,Alexandros Paraschos|Christian Daniel|Jan Peters|and Gerhard Neumann,This and the following papers using ProMPs|because they provided a very nice formulation for representing probabilistic movement primitives. ProMPs have many advantages and I found them better than classical DMPs in many robotics applications|from gestures to whole-body manipulations.~This work proposes a probabilistic movement primitive representation that can be trained through least squares regression from demonstrations. The most important feature of this model is its ability to model coupled systems. Thus|through exploiting the learned covariance between limbs or other dimensions whole body motion can be completed and predicted. Also the approach provides a closed form solution of optimal feedback controller in each time step assuming local Gaussian models.  ,2013,Neural Information Processing Systems Conference (NeurIPS)
20,a survey on policy search for robotics,2,https://ieeexplore.ieee.org/document/8186816,Marc Peter Deisenroth|Gerhard Neumann|Jan Peters,A great unifying view on policy search~For learning optimal robot behavior|reinforcement learning is an essential tool. Whereas the standard textbook by Sutton & Barto mainly covers value-function based methods|this survey covers policy-based method that are very popular in robotics application|with a specific focus on a robotics context. ,2013,Book
21,relative entropy policy search,2,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/viewFile/1851/2264,Jan Peters|Katharina Mülling|Yasemin Altün,This work introduced for the first time an analytical KL bound to policy search algorithms in order to make them more stable and efficient. This work started a whole branch of new policy search algorithms and also many deep RL algorithms are inspired by this idea. ~This work proposes an information theoretic gradient based policy learning learning algorithm with adaptive step sizes. This adaptive step sizes or learning rates are essential for real robot implementations where large jumps in policy updates might damage a real system. ,2010,AAAI Conference on Artificial Intelligence
22,trust region policy optimization,3,https://arxiv.org/abs/1502.05477,John Schulman|Sergey Levine|Philipp Moritz|Michael I. Jordan|Pieter Abbeel,The TRPO paper lead the way towards practical Reinforcement Learning (RL) for robotics (and other domains). It's much more sample efficient and robust than previous approaches|and scales to high dimensional continuous action spaces. It's become a very popular method for training RL algorithms applied to robotics|although its slowly being replaced with descendants like Proximal Policy Optimization (PPO). TRPO has played a big part in reviving RL for robotics.~The work discusses a practical policy optimization method that although can be brittle|it is commonly used in many machine learning and robotics systems. It is also an algorithm that has started conversations around reproducibility of machine learning algorithms.~Schulman et al.|introduced an iterative method for optimizing policies that guaranteed monotonic improvement. At the time|it was developed|it was significantly more stable (lower variance) than other on and off-policy methods such as Deep Q-learning for learning large non-linear policies. TRPO|to date requires substantially less parameter tuning than other deep reinforcement learning algorithms and its variants such as PPO are a popular choice.  While model-free learning algorithms have not met with big successes in robot learning|we might not be far away. ,2017,International Conference on Machine Learning
23,human-level control through deep reinforcement learning,2,https://web.stanford.edu/class/psych209/Readings/MnihEtAlHassibis15NatureControlDeepRL.pdf,Volodymyr Mnih|Koray Kavukcuoglu|David Silver|Andrei A. Rusu|Joel Veness|Marc G. Bellemare|Alex Graves|Martin Riedmiller|Andreas K. Fidjeland|Georg Ostrovski|Stig Petersen|Charles Beattie|Amir Sadik|Ioannis Antonoglou|Helen King|Dharshan Kumaran|Daan Wierstra|Shane Legg|Demis Hassabis,Because it demonstrates that with modern approaches to deep reinforcement learning one can achieve human-level performance even in end-to-end settings. ~Although not strictly robotics paper|this one made a breakthrough in end-to-end deep reinforcement learning. ,2015,Nature
24,model-agnostic meta-learning for fast adaptation of deep networks,2,https://arxiv.org/abs/1703.03400,Chelsea Finn|Pieter Abbeel|Sergey Levine,Most people probably wouldn't compare MAMAL with HER because the algorithms and the problems they address are vastly different; MAML tackles transfer learning while HER tackles sparse reward issues. But from certain perspective|HER and MAML can make a very complementary pair of parents. HER is like an encouraging parent who|in hindsight|thinks everything the child did is a useful learning experience. MAML|on the other hand|thinks in foresight and wants the child to only learn skills for future job prospects. Does that sound like your parents?~Model-Agnostic Meta-Learning (MAML) has been a paradigm shift in robotics and has been used in number of applications.,2017,International Conference on Machine Learning
25,autonomous helicopter control using reinforcement learning policy search methods,2,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.465.8751&rep=rep1&type=pdf,J. Andrew Bagnell|Jeff G. Schneider,"I think this is one of the first work that shows the potential of reinforcement learning in realistic robotics problems. This paper together with ""Inverted autonomous helicopter flight via reinforcement learning"" by Andrew Y. Ng|et.al. are useful to encourage students see the importance and impact of applying concepts and methods to real-world setting.~One of the first real demonstrations of RL on an actual robot performing a complex control problem.",2001,IEEE International Conference on Robotics and Automation (ICRA)
26,learning attractor landscapes for learning motor primitives,2,https://papers.nips.cc/paper/2140-learning-attractor-landscapes-for-learning-motor-primitives.pdf,Auke Jan Ijspeert|Jun Nakanishi|and Stefan Schaal,This is the basis for large body of work on learning movement primitives. This first paper on the topic was published by the same authors at ICRA 2002~Dynamical Movement Primitives have definitely been very influential in mainly learning from demonstration studies. They encode the demonstrated trajectory as a set of differential equations|and offers advantages such as one-shot learning of non-linear movements|real-time stability and robustness under perturbations with guarantees in reaching the goal state|generalization of the movement for different goals|and linear combination of parameters. DMPs can be easily extended with additional terms: e.g. memorized force and tactile profiles can be utilized in modulating learned movement primitives in difficult manipulation tasks that contain high degrees of noise in perception or actuation. DMPs are further intuitive|easy to understand and implement; and therefore have been widely used.,2003,Neural Information Processing Systems Conference (NeurIPS)
27,robot programming by demonstration,1,https://calinon.ch/papers/Billard-handbookOfRobotics.pdf,Aude Billard and Sylvain Calinon|Ruediger Dillmann|Stefan Schaal,Provides a clear presentation of robot learning from demonstration from the authors who made the approach popular,2008,Book
28,robot learning from demonstration,2,http://www.mcgovern-fagg.org/amy/courses/cs5973_fall2005/lfd.pdf,Atkeson and Schaal,Some the key ideas in learning for robotics.~An early work with a stunning actual robot result of learning to swing up a pendulum|on a real robot|from a very few demonstrations and a little bit of trial and error.,1997,International Conference of Machine Learning
29,belief space planning assuming maximum likelihood observations,1,http://groups.csail.mit.edu/robotics-center/public_papers/Platt10.pdf,Robert Platt Jr.|Russ Tedrake|Leslie Kaelbling|Tomas Lozano-Perez,This isn't a learning paper|but a planning paper.  Nonetheless|I feel the need to include it|as it strongly influenced my thinking about manipulation learning.  It was the first work that I had seen make POMDPs work for real robotics problems.  It teaches students that reasoning about uncertainty is important|but that you need to make the right assumptions in order to make it work for any reasonably sized problem.  Whereas PILCO aims to reduce model uncertainty|this work assumes a correct model and leverages information-gathering actions to reduce state uncertainty.  Thus|these papers are complementary when discussing uncertainty.,2010,Robotics: Science and Systems VI
